 ,日版開始,日版結束,台版開始,台版結束,馬池,卡池
107,2024/2/24,2024/3/21,2025/6/27,2025/7/23,大鳴大放,"友-都留岐涼花
根-黃金巨匠"
108,2024/3/12,2024/3/21,2025/7/14,2025/7/23,創升,自選特選支援卡片轉蛋
109,2024/3/21,2024/3/29,2025/7/23,2025/7/31,萊茵實力,耐-高尚駿逸
110,2024/3/29,2024/4/9,2025/7/31,2025/8/11,"舞會第一紅寶
舞會大德太陽","速-舞會山人西風
力-舞會喜嘉奇蹟 "
111,2024/4/9,2024/4/19,2025/8/11,2025/8/21,換裝勝利獎券,智-新宇宙
112,2024/4/19,2024/4/30,2025/8/21,2025/9/1,萬賴爭鳴,自選特選支援卡片轉蛋
113,2024/4/30,2024/5/10,2025/9/1,2025/9/11,"武士八重無敵
忍者超級小溪","智-武士成田大進
耐-武士菱奇蹟"
114,2024/5/10,2024/5/20,2025/9/11,2025/9/21,換裝愛麗速子,根-伏特加
115,2024/5/20,2024/5/30,2025/9/21,2025/10/1,北方飛翔,自選特選支援卡片轉蛋
116,2024/5/30,2024/6/13,2025/10/1,2025/10/15,"婚紗東商變革
婚紗帝王光輝","速-婚紗比布魯斯
力-婚紗青雲天空"
117,2024/6/13,2024/6/26,2025/10/15,2025/10/28,叢林口袋*,自選特選支援卡片轉蛋
118,2024/6/26,2024/7/19,2025/10/28,2025/11/20,夢之旅,"友-秋川理事長
力-西野花"
119,2024/7/9,2024/7/19,2025/11/10,2025/11/20,豐食祭米浴,耐-緞通烈焰
120,2024/7/19,2024/7/29,2025/11/20,2025/11/30,浮岩光王,自選特選支援卡片轉蛋
121,2024/7/29,2024/8/14,2025/11/30,2025/12/17,"泳裝榮進閃耀
泳裝北幸樽前","速-泳裝醒目飛鷹
智-泳裝小林歷奇"
122,2024/8/14,2024/8/24,2025/12/17,2025/12/27,,自選特選支援卡片轉蛋
,2024/8/14,2024/8/24,2025/12/17,2025/12/27,,根-美妙姿勢
123,2024/8/24,2024/9/10,2025/12/27,2026/1/13,貴婦人*,速-愛如往昔
124,2024/8/30,2024/9/10,2026/1/2,2026/1/13,"換裝新宇宙
換裝荒漠英雄","智-大樹快車
根-富士奇石"
125,2024/9/10,2024/9/30,2026/1/13,2026/2/2,西薩里奧,力-希望城市
126,2024/9/20,2024/9/30,2026/1/23,2026/2/2,杜蘭達爾,自選特選支援卡片轉蛋
127,2024/9/30,2024/10/11,2026/2/2,2026/2/13,"萬聖節採珠
萬聖節重砲","速-萬聖節成田白仁
根-萬聖節菱亞馬遜"
128,2024/10/11,2024/10/29,2026/2/13,2026/3/3,泡泡糖小子,自選特選支援卡片轉蛋
129,2024/10/29,2024/11/18,2026/3/3,2026/3/23,賽博琵琶晨光,"耐-空中神宮
智-大和赤驥"
130,2024/11/8,2024/11/18,2026/3/13,2026/3/23,賽博成田大進,力-克莉斯耶絲象徵
131,2024/11/18,2024/11/28,2026/3/23,2026/4/2,空中彌賽亞,自選特選支援卡片轉蛋
132,2024/11/28,2024/12/10,2026/4/2,2026/4/14,"聖誕節愛慕織姬
聖誕節成田路","智-聖誕愛麗數碼
速-聖誕名將怒濤"
133,2024/12/10,2024/12/19,2026/4/14,2026/4/23,凱旋芭蕾,根-疾風裝束
134,2024/12/19,2024/12/27,2026/4/23,2026/5/1,蒼炎草上飛,自選特選支援卡片轉蛋
135,2024/12/27,2025/1/10,2026/5/1,2026/5/15,"新年葛城榮主
新年千明代表","智-魯道夫象徵
力-目白阿爾丹"
136,2025/1/10,2025/1/20,2026/5/15,2026/5/25,天女丸善斯基,速-採珠
137,2025/1/20,2025/1/31,2026/5/25,2026/6/5,狂熱激昂,自選特選支援卡片轉蛋
138,2025/1/31,2025/2/14,2026/6/5,2026/6/19,"情人節奧斯頓真弓
情人節山人西風","根-情人節真機伶
智-情人節生野狄杜斯"
139,2025/2/14,2025/2/24,2026/6/19,2026/6/29,鶴丸強志,自選特選支援卡片轉蛋
140,2025/2/24,2025/3/21,2026/6/29,2026/7/24,黃金巨匠*,"團-體現傳說之人
速-杏目"
141,2025/3/11,2025/3/21,2026/7/14,2026/7/24,放聲歡呼,耐-目白光明
142,2025/3/21,2025/3/31,2026/7/24,2026/8/3,無需理由,自選特選支援卡片轉蛋
143,2025/3/31,2025/4/10,2026/8/3,2026/8/13,"舞會踢踏城市 
舞會谷水琴蕾","力-伏特加
速-夢之旅"
144,2025/4/10,2025/4/21,2026/8/13,2026/8/24,換裝天狼星象徵,智-謀勇兼備
145,2025/4/21,2025/4/30,2026/8/24,2026/9/2,超常駿驥 ,自選特選支援卡片轉蛋
146,2025/4/30,2025/5/12,2026/9/2,2026/9/14,"樂園小林歷奇
樂園醒目飛鷹","力-樂園迷人景致
根-樂園創升"
147,2025/5/12,2025/5/21,2026/9/14,2026/9/23,極峰,根-無聲鈴鹿
148,2025/5/21,2025/5/30,2026/9/23,2026/10/2,唯獨愛你,自選特選支援卡片轉蛋
149,2025/5/30,2025/6/13,2026/10/2,2026/10/16,"婚紗目白拉茉奴
婚紗西薩里奧","速-萊茵實力
智-勇敢之心"
150,2025/6/13,2025/6/27,2026/10/16,2026/10/30,,自選特選支援卡片轉蛋
,2025/6/13,2025/7/11,2026/10/16,2026/11/13,時代創世,
151,2025/6/27,2025/7/22,2026/10/30,2026/11/24,無人島黃金城市,"友-塔克布萊恩
力-無人島玉藻十字"
152,2025/7/11,2025/7/22,2026/11/13,2026/11/24,無人島艾尼風神,耐-目白雷恩
153,2025/7/22,2025/7/31,2026/11/24,2026/12/3,房一潘朵拉,自選特選支援卡片轉蛋
154,2025/7/31,2025/8/14,2026/12/3,2026/12/17,"泳裝里見皇冠
泳裝高尚駿逸","智-泳裝凱旋芭蕾
耐-泳裝大鳴大放"
155,2025/8/14,2025/8/24,2026/12/17,2026/12/27,泳裝比布魯斯,自選特選支援卡片轉蛋
156,2025/8/24,2025/9/19,2026/12/27,2027/1/22,愛如往昔*,"根-黃金旅程
速-愛慕律動"
157,2025/8/29,2025/9/9,2027/1/1,2027/1/12,"秋服喜嘉奇蹟
秋服菱奇蹟","智-杜蘭達爾
速-浮岩光王"
158,2025/9/9,2025/9/19,2027/1/12,2027/1/22,希望城市,根-第一紅寶
159,2025/9/19,2025/9/29,2027/1/22,2027/2/1,信念,自選特選支援卡片轉蛋
160,2025/9/29,2025/10/10,2027/2/1,2027/2/12,"萬聖節菱曙
萬聖節美麗週日","根-萬聖節富士奇石
速-萬聖節榮進閃耀"
161,2025/10/10,2025/10/20,2027/2/12,2027/2/22,萬聖節島川喬登,耐-機伶金花
,2025/10/18,2025/10/29,2027/2/20,2027/3/3,叢林口袋(復刻),
162,2025/10/18,2025/10/29,2027/2/20,2027/3/3,緞通烈焰,自選特選支援卡片轉蛋
163,2025/10/29,2025/11/19,2027/3/3,2027/3/24,溫泉創升,"友-保科健子
速-溫泉東海帝皇"
164,2025/11/10,2025/11/19,2027/3/15,2027/3/24,溫泉奇銳駿,力-美浦波旁
165,2025/11/19,2025/11/28,2027/3/24,2027/4/2,迷人景致,自選特選支援卡片轉蛋
166,2025/11/28,2025/12/11,2027/4/2,2027/4/15,"聖誕節中山慶典
聖誕節夢之旅","耐-聖誕節黃金船
耐-聖誕節超常駿驥 "
167,2025/12/11,2026/1/8,2027/4/15,2027/5/13,灰髮灰姑娘 小栗帽*,耐-稻荷一
168,2025/12/21,2026/1/19,2027/4/25,2027/5/24,黃金旅程*,自選特選支援卡片轉蛋
169,2025/12/26,2026/1/8,2027/4/30,2027/5/13,"新年生野迪杜斯
新年櫻花桂冠","速-氣槽
力-美妙姿勢"
,2026/1/1,2026/1/19,2027/5/6,2027/5/24,貴婦人(復刻),
,2026/1/1,2026/1/19,2027/5/6,2027/5/24,黃金巨匠(復刻),
170,2026/1/8,2026/1/19,2027/5/13,2027/5/24,新年泡泡糖小子,根-帝王光輝
171,2026/1/19,2026/1/30,2027/5/24,2027/6/4,神業,自選特選支援卡片轉蛋
172,2026/1/30,2026/2/14,2027/6/4,2027/6/19,,
